comment,num_of_likes
"Voltaram atrás? Por que, hein!?",0
Boca de veludo...<br>Consenso?<br>A palavra correta é conchavo!!!<br>Malditos!<br>E o povo vai perdendo mané...,0
"✍️📖 livro de Jeremias <br>((( Como uma gaiola cheia de pássaros, são as suas casas de engano; por isso se engrandeceram e enriqueceram 📖✍️)))",0
"Abriram as pernas pro lira! Lira, atualmente é sujeito mais poderoso da política nacional! Fez Até o STF peidar  melado . Fala sério, q vergonha",0
"✍️📖 engordam-se e alisam-se,e ultrapassam até os feitos dos malignos; não julgam a causa dos órfãos, para que eles prosperem; nem julgam o direito dos nessecitados.",0
Trocando seis por meia dúzia!....,0
"Farra do Boi!<br>STF, Mídia e PT, câncer do Brasil!",0
Seria comico se nao fosse tragico,0
Quem é maus centrão? Os políticos ou juristas? 🤔🫣 Preocupação com os gastos...🤣🤣🤣🇧🇷🔞,0
Blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá,0
Tipo a transparência nas contas do STF 😂,0
"Qual o numero deles pra votar, parece deputado falando, tão de sacanagem a esse democracia tupinikim lkkkk",0
"Uai, não são secretas mais não?",0
Ta bom ...chegaram num BOM acordo para os dois lados $$$😊,0
"Vamos ve se eu entendi o STF toma uma decisão o congresso ameaça tirar poderes do STF, eles se reunem e o STF volta atras ? Kkk esse e o (BRASIL)",0
Ou seja: tem que ser do jeitinho que o Sistema manda ora bolas.,0
O brasil ta dos avesso o STF é quem da as regras,0
Kkkkkk quem manda é o congresso.  E vai continuar. Que nojo,0
ficou na mesma aí tem treta só tem pilantra,0
"Ficou quase tudo na mesma, apenas exigirão &quot;transparência&quot; nas emendas pix.😢😮😢",0
"kkkk quem manda e o STF senhores deputados e senadores e poder executivo ,enqunto nao tirarem da gaveta as pecs que limitem o poder do stf vao ter q engolir eles 😂😂😂",0
