comment,num_of_likes,analise
Ainda não tem um 1gb e já recuaram. Perdeu MANÉ!!!,2,negativo
Que vergonha. Parlamentar não apresenta plano de governo. Isso é uma vergonha. Roubo legalizado.,1,negativo
"Isso  já  passou do razoável, esse elemento  não  tem  nem um  voto, mas acha que  vai ditar a política  do país.",1,negativo
Nossa a imponência desse v.excrecencia sr LRB chega dá nojo ao próprio nojo. Um hipócrita.,1,negativo
Agregaram que vergonha,1,negativo
E as que já foram feitas não serão investigadas?,1,negativo
"Ou seja, acabou em pizza😂😂😂😂😂😂😂😂",1,neutro
"Devolvemos o dinheiro e tudo fica de boas,  HARMONIA TOTAL😂😂",1,positivo
Q transparencia??eles continuaram com as emendas por baixo dos panos roubando sempre,1,negativo
VERGONHOSO!!! DA NOJO!,0,negativo
"Foi mantida para o Lira deixar quieto a redução dos poderes do STF,  e proteção ao morais .",0,negativo
Resumindo o roubo tem que ser mais moderno,0,negativo
"O judiciário também tem que ser transparente.E um ministro sem postura,que fala &quot;perdeu mané&quot;,não tem credibilidade alguma.",0,negativo
Eu nunca vi um país que o judiciário governa junto com o Governo,0,negativo
Nojo desse senhor.,0,negativo
"Acorvadou  o Supremo Tttribunal, e o poder executivo.Estas emendas  não obrigatória tinham que acabar.Eles vão dar  um jeito de dipra o acordo.",0,negativo
"Arthur Lira é presidente da Câmara e do Sindicato dos Deputados! Também <br>é conhecido como Chantagista Geral da República! Foi ¨reeleito&quot; graças ao <br>&quot;ORÇAMENTO SECRETO&quot; e &quot;EMENDAS PIX&quot; por deputados de DIREITA E ESQUERDA&quot; <br>Eles não querem largar a &quot;MAMATA&quot;!",0,negativo
"E o que foi enviado sem transparência e sem rastreabilidade, VÃO INVESTIGAR? <br>CPI DO BOLSOLÃO JÁ!",0,negativo
A culpa é de bolsonaro..,0,negativo
Parabéns Presidente do congresso,0,positivo
STF casta muito,0,negativo
Graças adeus ainda temos o supremo.  Pelo povo,0,positivo
"Mas oq ele tá falando é as emendas impositivas, que são constitucionais e transparentes; que Flávio Dino, também, cortou. Com a intenção de subjugar os deputados ao presidente Lula. Criando um toma lá dá cá.",0,negativo
"Enfim nada mudou, pois não tem transparência.",0,negativo
Esses caras que mandam no povo???? Quantos votos ele recebeu???),0,negativo
Perdeu mané vc não manda nada vc não tem voto quem vai acreditar em vocês?????,0,negativo
O congresso é muito frouxos né kkkkkkkkkk os caras mandando e desmandando no Brasil<br>E os bando de patetas que receberam votos estão de mãos atadas kkkk homens frouxos,0,negativo
"Novidade, estão  todos em casa.",0,neutro
Brasil precisa trocar todos do STF,0,negativo
"GOSTARAM BEZERRINHOS DA ESQUERDA??<br>kkkkkkkkkkkkkkkkkkkkkkkkkkk<br>As emendas vão passar, agora com &quot;transparência&quot;. Mas vão passar.<br>kkkkkkkkkkkkkkkkkkkkk<br>FAZ o L !",0,negativo
"o critério do lula, cambada de fracos!",0,negativo
"Farinha do mesmo saco todos eles ,tanto ministros como esses ladrões do parlamento 😡",0,negativo
Tudo bandidos,0,negativo
STF PROPRIO CORRUPTOR KEI TEI QUE FAZER ISSO E O CONGRESSO,0,negativo
"Voltaram atrás? Por que, hein!?",0,negativo
Boca de veludo...<br>Consenso?<br>A palavra correta é conchavo!!!<br>Malditos!<br>E o povo vai perdendo mané...,0,negativo
"✍️📖 livro de Jeremias <br>((( Como uma gaiola cheia de pássaros, são as suas casas de engano; por isso se engrandeceram e enriqueceram 📖✍️)))",0,negativo
"Abriram as pernas pro lira! Lira, atualmente é sujeito mais poderoso da política nacional! Fez Até o STF peidar  melado . Fala sério, q vergonha",0,negativo
"✍️📖 engordam-se e alisam-se,e ultrapassam até os feitos dos malignos; não julgam a causa dos órfãos, para que eles prosperem; nem julgam o direito dos nessecitados.",0,negativo
Trocando seis por meia dúzia!....,0,negativo
"Farra do Boi!<br>STF, Mídia e PT, câncer do Brasil!",0,negativo
Seria comico se nao fosse tragico,0,negativo
Quem é maus centrão? Os políticos ou juristas? 🤔🫣 Preocupação com os gastos...🤣🤣🤣🇧🇷🔞,0,negativo
Blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá blá,0,neutro
Tipo a transparência nas contas do STF 😂,0,negativo
"Qual o numero deles pra votar, parece deputado falando, tão de sacanagem a esse democracia tupinikim lkkkk",0,negativo
"Uai, não são secretas mais não?",0,negativo
Ta bom ...chegaram num BOM acordo para os dois lados $$$😊,0,positivo
"Vamos ve se eu entendi o STF toma uma decisão o congresso ameaça tirar poderes do STF, eles se reunem e o STF volta atras ? Kkk esse e o (BRASIL)",0,negativo
Ou seja: tem que ser do jeitinho que o Sistema manda ora bolas.,0,negativo
O brasil ta dos avesso o STF é quem da as regras,0,negativo
Kkkkkk quem manda é o congresso.  E vai continuar. Que nojo,0,negativo
ficou na mesma aí tem treta só tem pilantra,0,negativo
"Ficou quase tudo na mesma, apenas exigirão &quot;transparência&quot; nas emendas pix.😢😮😢",0,negativo
"kkkk quem manda e o STF senhores deputados e senadores e poder executivo ,enqunto nao tirarem da gaveta as pecs que limitem o poder do stf vao ter q engolir eles 😂😂😂",0,negativo
